# authority_id	required_mode	contexts	product_types	path	path_role	validation_rule	dashboard_group	description
product.entrypoint	required	all	all	README.md	entrypoint	file_exists	workflow	Product human entrypoint.
product.package	optional	all	all	package.json	custom	file_nonempty	workflow	Node package metadata for the local CLI.
product.package_lock	optional	all	all	package-lock.json	custom	file_nonempty	workflow	Locked npm dependency graph for the local CLI.
product.changelog	optional	all	all	CHANGELOG.md	doc	file_nonempty	workflow	Local unreleased changelog and release status notes.
product.plugin_manifest	optional	all	all	.codex-plugin/plugin.json	ops	file_nonempty	workflow	Local Codex plugin manifest for the CLI and MCP adapter bundle.
product.plugin_mcp	optional	all	all	.mcp.json	ops	file_nonempty	workflow	Local plugin MCP server configuration for the stdio adapter.
product.ci_workflow	optional	all	all	.github/workflows/ci.yml	ci	file_nonempty	workflow	Local GitHub Actions workflow definition; not executed until a remote exists.
product.ci_manifest	optional	all	all	ops/CI_MANIFEST.tsv	ops	file_nonempty	workflow	CI authority manifest for product-local workflow checks.
product.cli_bin	optional	all	all	bin/trace-cue.js	source	file_nonempty	workflow	Local trace-cue executable entrypoint.
product.mcp_bin	optional	all	all	bin/trace-cue-mcp.js	source	file_nonempty	workflow	Local stdio MCP adapter executable entrypoint.
product.source	required	all	all	src/cli.js	source	file_nonempty	workflow	CLI runtime entrypoint.
product.public_api	optional	all	all	src/api.js	source	file_nonempty	workflow	Public local package API exports for reusable core functions.
product.control_center_read_model	optional	all	all	src/control-center-read-model.js	source	file_nonempty	workflow	Read-only body-free browser status read model over existing TraceCue APIs.
product.control_center_agentic_review	optional	all	all	src/control-center-agentic-review-actions.js	source	file_nonempty	workflow	Purpose-limited Control Center review operation broker over the existing approval-gated Agentic Human Review core.
product.control_center_preferences	optional	all	all	src/control-center-preferences.js	source	file_nonempty	workflow	Fixed-path ordinary Control Center preferences with mandatory external-send confirmation.
product.dashboard_settings_store	optional	all	all	src/dashboard-settings-store.js	source	file_nonempty	workflow	Layered shared-default and ignored-local dashboard settings store with allowlisted overlays, serialized atomic writes, path confinement, and fixed safety fields.
product.control_center_settings	optional	all	all	src/control-center-settings.js	source	file_nonempty	workflow	Atomic ordinary Control Center settings save across display language, default viewport, AI suggestions, and Playwright Test mode.
product.control_center_actions	optional	all	all	src/control-center-actions.js	source	file_nonempty	workflow	Confirmed local Control Center source-intake proposal, display-language settings, Playwright Test mode/import, approved external CI settings, and read-only external CI artifact fetch actions without provider, shell, MCP, browser, or external-transfer authority.
product.control_center_server	optional	all	all	src/control-center-server.js	source	file_nonempty	workflow	Loopback-only server for built React/Vite browser assets, GET-only dashboard API, and bounded local action endpoints.
product.playwright_test_integration	optional	all	all	src/playwright-test-integration.js	source	file_nonempty	workflow	Disabled-by-default Playwright Test mode, boundary, result artifact, and status contract helper.
product.playwright_test_artifacts	optional	all	all	src/playwright-test-artifacts.js	source	file_nonempty	workflow	Workspace-confined Playwright Test artifact scanning, bounded reads, and redaction helper.
product.playwright_test_import	optional	all	all	src/playwright-test-import.js	source	file_nonempty	workflow	Local Playwright Test JSON/JUnit/HTML-reference artifact import and receipt writer.
product.playwright_test_local_run	optional	all	all	src/playwright-test-local-run.js	source	file_nonempty	workflow	CLI-only Playwright Test local-run plan and explicit execute helper with plan-hash gating.
product.playwright_test_external_ci	optional	all	all	src/playwright-test-external-ci.js	source	file_nonempty	workflow	Read-only GitHub Actions artifact list/view/download integration through gh run commands, including approved settings resolution before explicit download.
product.playwright_test_regression	optional	all	all	src/playwright-test-regression.js	source	file_nonempty	workflow	Read-only Playwright Test regression summary and report helper for CLI and Control Center.
product.e2e_result_review_material	optional	all	all	src/e2e-result-review-material.js	source	file_nonempty	workflow	Read-only normalized E2E result review-material projection for Playwright Test evidence, non-engineer review cards, comparison, and standard/deep/xhigh review inputs without raw artifacts or provider execution.
product.playwright_test_runners	optional	all	all	src/playwright-test-runners.js	source	file_nonempty	workflow	Isolated fixed-argv process runner for Playwright Test local runs and read-only gh run commands.
product.agent_advisory	optional	all	all	src/agent.js	source	file_nonempty	workflow	Local agent advisory package, ingest, report, and surface registry runtime.
product.agentic_human_review	optional	all	all	src/agentic-human-review.js	source	file_nonempty	workflow	CLI-only Agentic Human Review planning, execution, status, advisory normalization, proof-claim integrity, comparison diagnostics, and claim-standard-gate minimal rerun planning runtime with plan-hash and transfer-flag enforcement.
product.agentic_human_review_providers	optional	all	all	src/agentic-human-review-providers.js	source	file_nonempty	workflow	Isolated Agentic Human Review provider catalog, readiness, and generic API adapter with env-only credentials and no raw response storage.
product.agentic_human_review_responses_adapter	optional	all	all	src/agentic-human-review-responses-adapter.js	source	file_nonempty	workflow	Optional loopback-only Responses adapter for approved Agentic Human Review live dogfood conversion, structured advisory output shaping, review-claim repair validation, and no raw response or credential storage boundaries.
product.input	optional	all	all	src/input.js	source	file_nonempty	workflow	Reusable structured input resolution helpers for inline, file, and stdin input.
product.daemon	optional	all	all	src/daemon.js	source	file_nonempty	workflow	Local background browser daemon controller.
product.daemon_worker	optional	all	all	src/daemon-worker.js	source	file_nonempty	workflow	Local background browser daemon worker process.
product.durations	optional	all	all	src/durations.js	source	file_nonempty	workflow	Reusable duration parsing helper for daemon lifecycle and artifact policies.
product.mcp_adapter	optional	all	all	src/mcp.js	source	file_nonempty	workflow	Local stdio MCP adapter over the CLI/core contract.
product.page_evidence	optional	all	all	src/page-evidence.js	source	file_nonempty	workflow	Reusable page observation and event evidence helpers.
product.resource_status	optional	all	all	src/resource-status.js	source	file_nonempty	workflow	Local no-browser resource status preflight for memory, swap, cgroup, pressure, and process memory signals.
product.resource_guard	optional	all	all	src/resource-guard.js	source	file_nonempty	workflow	Local additive review resource guard for preflight and route/viewport rechecks.
product.resource_artifacts	optional	all	all	src/resource-artifacts.js	source	file_nonempty	workflow	Local artifact usage planning, plan hashes, candidate locks, and explicit artifact-root cleanup receipts.
product.observe	optional	all	all	src/observe.js	source	file_nonempty	workflow	Playwright-backed one-shot observation runtime.
product.review	optional	all	all	src/review.js	source	file_nonempty	workflow	Playwright-backed deterministic review, quality signals, target manifest, coverage, and mock metrics runtime.
product.content_ux_advisory	optional	all	all	src/content-ux-advisory.js	source	file_nonempty	workflow	Pure local content UX advisory helper for manifest opt-in source-to-screen contracts, page handoff, manifest-authoring suggestions, review brief, rubric evaluation, and dedicated handoff output.
product.mcp_profiles	optional	all	all	src/mcp-profiles.js	source	file_nonempty	workflow	Reusable MCP profile registry for safe, full, and admin stdio adapter tool surfaces, including read-only local agent status inspection.
product.mcp_capabilities	optional	all	all	src/mcp-capabilities.js	source	file_nonempty	workflow	Read-only MCP capability policy report helper for profile, transport, admin, cleanup-plan, and excluded-operation inspection.
product.mcp_transport_policy	optional	all	all	src/mcp-transport-policy.js	source	file_nonempty	workflow	Reusable MCP transport policy for stdio compatibility and explicit safe loopback HTTP transport.
product.mcp_client_config	optional	all	all	src/mcp-client-config.js	source	file_nonempty	workflow	Token-free MCP client configuration helper for installed-bin and local-checkout stdio and explicit safe HTTP setup metadata.
product.mcp_http_transport	optional	all	all	src/mcp-http-transport.js	source	file_nonempty	workflow	Isolated safe-profile-only loopback HTTP MCP transport over the existing MCP core.
product.identity	optional	all	all	src/product-identity.js	source	file_nonempty	workflow	Reusable package, CLI, MCP, plugin, and repository identity metadata for rename-readiness checks.
product.locale_policy	optional	all	all	src/locale-policy.js	source	file_nonempty	workflow	Reusable locale authority for dashboard display and artifact output language settings.
product.language_settings	optional	all	all	src/language-settings.js	source	file_nonempty	workflow	Local read-only language settings normalization for dashboard display locale and artifact output language metadata.
product.localization_resources	optional	all	all	src/localization-resources.js	source	file_nonempty	workflow	Provider-free UI locale resources, report template resources, translation readiness, and dry-run contracts that preserve raw evidence.
product.schema_registry	optional	all	all	src/schema-registry.js	source	file_nonempty	workflow	Machine-readable schema registry for CLI and adapter contracts.
product.control_center_app	optional	all	all	control-center/src/App.jsx	source	file_nonempty	workflow	React/Vite browser surface for local review status, source intake, Playwright Test regression import/approved external CI settings/external CI fetch, display-language settings, and product design-system tokens.
product.control_center_i18n	optional	all	all	control-center/src/i18n.js	source	file_nonempty	workflow	Control Center UI chrome locale resources backed by TraceCue locale policy.
product.control_center_pages	optional	all	all	control-center/src/pageDefinitions.js	source	file_nonempty	workflow	Control Center page registry for minimal Intake, Review, Regression, Evidence, Findings, Settings, and Advanced views.
product.sessions	optional	all	all	src/sessions.js	source	file_nonempty	workflow	Local session, action, report, and spec runtime.
product.supervisor	optional	all	all	src/supervisor.js	source	file_nonempty	workflow	Process-scoped supervised ephemeral browser runtime.
product.target	optional	all	all	src/target.js	source	file_nonempty	workflow	Reusable target manifest generation and validation runtime.
product.schemas	optional	all	all	schemas/review.schema.json	doc	file_nonempty	workflow	Public machine-readable schema files for review and adapter contracts.
product.control_center_schema	optional	all	all	schemas/control-center-read-model.schema.json	doc	file_nonempty	workflow	Public schema for the read-only browser status read model.
product.control_center_agentic_review_schema	optional	all	all	schemas/control-center-agentic-review.schema.json	doc	file_nonempty	workflow	Public schema for the safe Control Center Agentic Human Review operation projection.
